Feature,Importance
Age,0.38096293342865645
NumOfProducts,0.2792822959554449
EngagementProductInteraction,0.08304864469239011
Balance,0.06974763013941697
Geography_Germany,0.049547359361837795
IsActiveMember,0.042181103703910795
BalanceSalaryRatio,0.025682393023067403
CreditScore,0.01883854630425162
EstimatedSalary,0.017378816569702145
Gender_Male,0.012969128342362135
AgeTenureInteraction,0.012963757883584422
ProductDensity,0.002930314589760972
IsZeroBalance,0.001691963182808699
Geography_Spain,0.0011562181490219813
Tenure,0.0008614484153116157
HasCrCard,0.0007574462584718193
