Feature,Importance_mean,Importance_std
NumOfProducts,0.07626203501909709,0.00920718249795624
AgeSquared,0.03771763545774836,0.005276000245111299
Age,0.02003976241264367,0.003902435987559101
Geography,0.019746094322365418,0.0019580751032506672
EngagementProductInteraction,0.012203060790631307,0.0026158227558028156
BalanceSalaryRatio,0.008983919718382942,0.0021829277377372713
Balance,0.008575396146017567,0.001660242175080817
BalancePerProduct,0.008438330472228714,0.0017906948017839678
Gender,0.007299081310380647,0.0016548462037668204
IsActiveMember,0.006320341913562159,0.0017461040218421783
HighRiskProducts,0.006048472715139279,0.002086004007155581
CreditScore,0.0024227617447955875,0.0007392887596921558
IsZeroBalance,0.0001364487240193224,0.00020008575029067537
Tenure,8.96633664994484e-05,9.860082817768157e-05
HasCrCard,-0.00011146225835500327,0.00021672306677851256
ProductDensity,-0.0001431323465223011,0.0007355113848956681
EstimatedSalary,-0.0003993721507846715,0.0010275535971569897
AgeTenureInteraction,-0.0011187355820124903,0.0006165831967102294
