Threshold,Precision,Recall,F1_Score,Total_Cost,Captured_Churners,Missed_Churners
0.05,0.26541554959785524,0.972972972972973,0.41706161137440756,105400.0,396,11
0.055,0.2731063238359972,0.9656019656019657,0.4257854821235103,105600.0,393,14
0.06,0.27896995708154504,0.9582309582309583,0.43213296398891965,106400.0,390,17
0.065,0.2893553223388306,0.9484029484029484,0.4434233199310741,107000.0,386,21
0.07,0.29937791601866254,0.9459459459459459,0.4548139397519197,105550.0,385,22
0.075,0.30973451327433627,0.9459459459459459,0.4666666666666667,103400.0,385,22
0.08,0.3164451827242525,0.9361179361179361,0.4729981378026071,105250.0,381,26
0.08499999999999999,0.3258620689655172,0.9287469287469288,0.4824505424377792,105900.0,378,29
0.09,0.33156028368794327,0.918918918918919,0.48729641693811077,108100.0,374,33
0.095,0.3406998158379374,0.9090909090909091,0.4956463496316142,109800.0,370,37
0.09999999999999999,0.3520992366412214,0.9066339066339066,0.5072164948453608,108850.0,369,38
0.105,0.36031589338598224,0.8968058968058968,0.5140845070422535,110900.0,365,42
0.10999999999999999,0.3720452209660843,0.8894348894348895,0.5246376811594203,111750.0,362,45
0.11499999999999999,0.38461538461538464,0.8845208845208845,0.5361131794489948,111800.0,360,47
0.12,0.3867102396514161,0.8722358722358723,0.5358490566037736,115650.0,355,52
0.12499999999999999,0.391304347826087,0.8624078624078624,0.5383435582822086,118400.0,351,56
0.13,0.40022805017103763,0.8624078624078624,0.5467289719626168,117400.0,351,56
0.135,0.4062863795110594,0.8574938574938575,0.5513428120063191,118400.0,349,58
0.13999999999999999,0.4145758661887694,0.8525798525798526,0.5578778135048231,119200.0,347,60
0.145,0.4188034188034188,0.8427518427518428,0.5595432300163132,122100.0,343,64
0.14999999999999997,0.42355889724310775,0.8304668304668305,0.5609958506224066,125800.0,338,69
0.15499999999999997,0.4386422976501306,0.8255528255528255,0.5728900255754475,126100.0,336,71
0.15999999999999998,0.45,0.8181818181818182,0.5806451612903226,127650.0,333,74
0.16499999999999998,0.4596100278551532,0.8108108108108109,0.5866666666666667,129400.0,330,77
0.16999999999999998,0.47126436781609193,0.8058968058968059,0.5947416137805984,130200.0,328,79
0.175,0.4743777452415813,0.7960687960687961,0.5944954128440367,133350.0,324,83
0.18,0.48343373493975905,0.7886977886977887,0.5994397759103641,135250.0,321,86
